reaction,name,equation,definition,enzyme,substrates,products,stoichiometry_substrates,stoichiometry_products
R07525,"spirilloxanthin,reduced-ferredoxin:oxygen oxidoreductase (spirilloxanthin-2-one-forming); Spirilloxanthin + 2 Oxygen + 4 Reduced ferredoxin + 4 H+ <=> 2-Ketospirilloxanthin + 3 H2O + 4 Oxidized ferredoxin",C15881 + 2 C00007 + 4 C00138 + 4 C00080 <=> C15884 + 3 C00001 + 4 C00139,Spirilloxanthin + 2 Oxygen + 4 Reduced ferredoxin + 4 H+ <=> 2-Ketospirilloxanthin + 3 H2O + 4 Oxidized ferredoxin,['1.14.15.9'],C15881;C00007;C00138;C00080,C15884;C00001;C00139,1.0;2.0;4.0;4.0,1.0;3.0;4.0
R07526,"2-oxospirilloxanthin,reduced-ferredoxin:oxygen oxidoreductase (2-oxospirilloxanthin-2-one-forming); 2-Ketospirilloxanthin + 2 Oxygen + 4 Reduced ferredoxin + 4 H+ <=> 2,2'-Diketospirilloxanthin + 3 H2O + 4 Oxidized ferredoxin",C15884 + 2 C00007 + 4 C00138 + 4 C00080 <=> C15885 + 3 C00001 + 4 C00139,"2-Ketospirilloxanthin + 2 Oxygen + 4 Reduced ferredoxin + 4 H+ <=> 2,2'-Diketospirilloxanthin + 3 H2O + 4 Oxidized ferredoxin",['1.14.15.9'],C15884;C00007;C00138;C00080,C15885;C00001;C00139,1.0;2.0;4.0;4.0,1.0;3.0;4.0
R07527,"S-adenosyl-L-methionine:demethylspheroidene O-methyltransferase; 1-Hydroxy-1,2-dihydrolycopene + S-Adenosyl-L-methionine <=> 3,4-Dihydroanhydrorhodovibrin + S-Adenosyl-L-homocysteine",C19795 + C00019 <=> C15886 + C00021,"1-Hydroxy-1,2-dihydrolycopene + S-Adenosyl-L-methionine <=> 3,4-Dihydroanhydrorhodovibrin + S-Adenosyl-L-homocysteine",['2.1.1.210'],C19795;C00019,C15886;C00021,1.0;1.0,1.0;1.0
R07528,"lycopene hydro-lyase (1-hydroxy-1,2-dihydrolycopene-forming); 3,4-Dihydroanhydrorhodovibrin + H2O <=> 3',4'-Dihydrorhodovibrin",C15886 + C00001 <=> C15887,"3,4-Dihydroanhydrorhodovibrin + H2O <=> 3',4'-Dihydrorhodovibrin",['4.2.1.131'],C15886;C00001,C15887,1.0;1.0,1.0
R07529,"S-adenosyl-L-methionine:demethylspheroidene O-methyltransferase; 3',4'-Dihydrorhodovibrin + S-Adenosyl-L-methionine <=> 3,4,3',4'-Tetrahydrospirilloxanthin + S-Adenosyl-L-homocysteine",C15887 + C00019 <=> C15888 + C00021,"3',4'-Dihydrorhodovibrin + S-Adenosyl-L-methionine <=> 3,4,3',4'-Tetrahydrospirilloxanthin + S-Adenosyl-L-homocysteine",['2.1.1.210'],C15887;C00019,C15888;C00021,1.0;1.0,1.0;1.0
R07530,"alpha-carotene,reduced ferredoxin [iron-sulfur] cluster:oxygen 3-oxidoreductase; alpha-Carotene + 2 Reduced ferredoxin + H+ + Oxygen <=> Zeinoxanthin + 2 Oxidized ferredoxin + H2O",C05433 + 2 C00138 + C00080 + C00007 <=> C08590 + 2 C00139 + C00001,alpha-Carotene + 2 Reduced ferredoxin + H+ + Oxygen <=> Zeinoxanthin + 2 Oxidized ferredoxin + H2O,['1.14.15.24      1.14.-.-'],C05433;C00138;C00080;C00007,C08590;C00139;C00001,1.0;2.0;1.0;1.0,1.0;2.0;1.0
R07531,"zeinoxanthin,[reduced NADPH---hemoprotein reductase]:oxygen oxidoreductase (3-hydroxylating); Zeinoxanthin + [Reduced NADPH---hemoprotein reductase] + Oxygen <=> Lutein + [Oxidized NADPH---hemoprotein reductase] + H2O",C08590 + C03024 + C00007 <=> C08601 + C03161 + C00001,Zeinoxanthin + [Reduced NADPH---hemoprotein reductase] + Oxygen <=> Lutein + [Oxidized NADPH---hemoprotein reductase] + H2O,['1.14.14.158'],C08590;C03024;C00007,C08601;C03161;C00001,1.0;1.0;1.0,1.0;1.0;1.0
R07532,"lycopene hydro-lyase (1-hydroxy-1,2-dihydrolycopene-forming); all-trans-Neurosporene + H2O <=> Chloroxanthin",C05431 + C00001 <=> C15892,all-trans-Neurosporene + H2O <=> Chloroxanthin,['4.2.1.131'],C05431;C00001,C15892,1.0;1.0,1.0
R07533,"demethylspheroidene O-methyltransferase; Chloroxanthin + S-Adenosyl-L-methionine <=> 3,4-Dihydrospheroidene + S-Adenosyl-L-homocysteine",C15892 + C00019 <=> C15895 + C00021,"Chloroxanthin + S-Adenosyl-L-methionine <=> 3,4-Dihydrospheroidene + S-Adenosyl-L-homocysteine",['2.1.1.210'],C15892;C00019,C15895;C00021,1.0;1.0,1.0;1.0
R07534,"1-hydroxy-1,2-dihydrolycopene:acceptor oxidoreductase; Chloroxanthin <=> Demethylspheroidene",C15892 <=> C15898,Chloroxanthin <=> Demethylspheroidene,['1.3.99.27'],C15892,C15898,1.0,1.0
R07535,S-adenosyl-L-methionine:demethylspheroidene O-methyltransferase; Demethylspheroidene + S-Adenosyl-L-methionine <=> Spheroidene + S-Adenosyl-L-homocysteine,C15898 + C00019 <=> C15900 + C00021,Demethylspheroidene + S-Adenosyl-L-methionine <=> Spheroidene + S-Adenosyl-L-homocysteine,['2.1.1.210'],C15898;C00019,C15900;C00021,1.0;1.0,1.0;1.0
R07536,"lycopene hydro-lyase (1-hydroxy-1,2-dihydrolycopene-forming); Spheroidene + H2O <=> Hydroxyspheroidene",C15900 + C00001 <=> C15902,Spheroidene + H2O <=> Hydroxyspheroidene,['4.2.1.131'],C15900;C00001,C15902,1.0;1.0,1.0
R07537,"spheroidene,reduced-ferredoxin:oxygen oxidoreductase (spheroiden-2-one-forming); Spheroidene + 2 Oxygen + 4 Reduced ferredoxin + 4 H+ <=> Spheroidenone + 3 H2O + 4 Oxidized ferredoxin",C15900 + 2 C00007 + 4 C00138 + 4 C00080 <=> C15903 + 3 C00001 + 4 C00139,Spheroidene + 2 Oxygen + 4 Reduced ferredoxin + 4 H+ <=> Spheroidenone + 3 H2O + 4 Oxidized ferredoxin,['1.14.15.9'],C15900;C00007;C00138;C00080,C15903;C00001;C00139,1.0;2.0;4.0;4.0,1.0;3.0;4.0
R07538,Hydroxyspheroidene + 2 Oxygen + 4 Reduced ferredoxin + 4 H+ <=> Hydroxyspheroidenone + 3 H2O + 4 Oxidized ferredoxin,C15902 + 2 C00007 + 4 C00138 + 4 C00080 <=> C15905 + 3 C00001 + 4 C00139,Hydroxyspheroidene + 2 Oxygen + 4 Reduced ferredoxin + 4 H+ <=> Hydroxyspheroidenone + 3 H2O + 4 Oxidized ferredoxin,['1.14.15.9'],C15902;C00007;C00138;C00080,C15905;C00001;C00139,1.0;2.0;4.0;4.0,1.0;3.0;4.0
R07539,"lycopene hydro-lyase (1-hydroxy-1,2-dihydrolycopene-forming); Spheroidenone + H2O <=> Hydroxyspheroidenone",C15903 + C00001 <=> C15905,Spheroidenone + H2O <=> Hydroxyspheroidenone,['4.2.1.131'],C15903;C00001,C15905,1.0;1.0,1.0
R07540,"gamma-Carotene <=> 1',2'-Dihydro-gamma-carotene",C05435 <=> C15907,"gamma-Carotene <=> 1',2'-Dihydro-gamma-carotene",,C05435,C15907,1.0,1.0
R07541,gamma-carotene:acceptor oxidoreductase/methyltranferase (phi-ring forming); gamma-Carotene + 2 Acceptor <=> Chlorobactene + 2 Reduced acceptor,C05435 + 2 C00028 <=> C15908 + 2 C00030,gamma-Carotene + 2 Acceptor <=> Chlorobactene + 2 Reduced acceptor,['1.3.99.39'],C05435;C00028,C15908;C00030,1.0;2.0,1.0;2.0
R07542,"gamma-Carotene <=> 1',2'-Dihydrochlorobactene",C05435 <=> C15910,"gamma-Carotene <=> 1',2'-Dihydrochlorobactene",,C05435,C15910,1.0,1.0
R07543,"lycopene hydro-lyase (1-hydroxy-1,2-dihydrolycopene-forming); Chlorobactene + H2O <=> Hydroxychlorobactene",C15908 + C00001 <=> C15911,Chlorobactene + H2O <=> Hydroxychlorobactene,['4.2.1.131'],C15908;C00001,C15911,1.0;1.0,1.0
R07544,Hydroxychlorobactene <=> Hydroxychlorobactene glucoside,C15911 <=> C15914,Hydroxychlorobactene <=> Hydroxychlorobactene glucoside,,C15911,C15914,1.0,1.0
R07545,Hydroxychlorobactene glucoside <=> Hydroxychlorobactene glucoside ester,C15914 <=> C15917,Hydroxychlorobactene glucoside <=> Hydroxychlorobactene glucoside ester,,C15914,C15917,1.0,1.0
R07546,1'-Hydroxy-gamma-carotene <=> 1'-Hydroxy-gamma-carotene glucoside,C15859 <=> C15861,1'-Hydroxy-gamma-carotene <=> 1'-Hydroxy-gamma-carotene glucoside,,C15859,C15861,1.0,1.0
R07547,1'-Hydroxy-gamma-carotene glucoside <=> 1'-Hydroxy-gamma-carotene glucoside ester,C15861 <=> C15864,1'-Hydroxy-gamma-carotene glucoside <=> 1'-Hydroxy-gamma-carotene glucoside ester,,C15861,C15864,1.0,1.0
R07548,gamma-Carotene <=> Myxol,C05435 <=> C15919,gamma-Carotene <=> Myxol,,C05435,C15919,1.0,1.0
R07549,Myxol <=> 4-Ketomyxol,C15919 <=> C15928,Myxol <=> 4-Ketomyxol,,C15919,C15928,1.0,1.0
R07550,Myxol <=> 4-Hydroxymyxol,C15919 <=> C15932,Myxol <=> 4-Hydroxymyxol,,C15919,C15932,1.0,1.0
R07551,4-Ketomyxol <=> 4-Hydroxymyxol,C15928 <=> C15932,4-Ketomyxol <=> 4-Hydroxymyxol,,C15928,C15932,1.0,1.0
R07552,gamma-Carotene <=> Deoxymyxol,C05435 <=> C15933,gamma-Carotene <=> Deoxymyxol,,C05435,C15933,1.0,1.0
R07553,"Deoxymyxol <=> (2'S)-Deoxymyxol 2'-(2,4-di-O-methyl-alpha-L-fucoside)",C15933 <=> C15935,"Deoxymyxol <=> (2'S)-Deoxymyxol 2'-(2,4-di-O-methyl-alpha-L-fucoside)",,C15933,C15935,1.0,1.0
R07554,"(2'S)-Deoxymyxol 2'-(2,4-di-O-methyl-alpha-L-fucoside) <=> (3R,2'S)-Myxol 2'-(2,4-di-O-methyl-alpha-L-fucoside)",C15935 <=> C15937,"(2'S)-Deoxymyxol 2'-(2,4-di-O-methyl-alpha-L-fucoside) <=> (3R,2'S)-Myxol 2'-(2,4-di-O-methyl-alpha-L-fucoside)",['1.14.13.-'],C15935,C15937,1.0,1.0
R07555,gamma-Carotene <=> (2'S)-Deoxymyxol 2'-alpha-L-fucoside,C05435 <=> C15940,gamma-Carotene <=> (2'S)-Deoxymyxol 2'-alpha-L-fucoside,,C05435,C15940,1.0,1.0
R07556,"(2'S)-Deoxymyxol 2'-alpha-L-fucoside <=> (3R,2'S)-Myxol 2'-alpha-L-fucoside",C15940 <=> C15941,"(2'S)-Deoxymyxol 2'-alpha-L-fucoside <=> (3R,2'S)-Myxol 2'-alpha-L-fucoside",['1.14.13.-'],C15940,C15941,1.0,1.0
R07557,"(3R,2'S)-myxol 2'-alpha-L-fucoside,donor:oxygen oxidoreductase; (3R,2'S)-Myxol 2'-alpha-L-fucoside + 2 Reduced acceptor + 2 Oxygen <=> (3S,2'S)-4-Ketomyxol 2'-alpha-L-fucoside + 2 Acceptor + 3 H2O",C15941 + 2 C00030 + 2 C00007 <=> C15942 + 2 C00028 + 3 C00001,"(3R,2'S)-Myxol 2'-alpha-L-fucoside + 2 Reduced acceptor + 2 Oxygen <=> (3S,2'S)-4-Ketomyxol 2'-alpha-L-fucoside + 2 Acceptor + 3 H2O",['1.14.99.64'],C15941;C00030;C00007,C15942;C00028;C00001,1.0;2.0;2.0,1.0;2.0;3.0
R07558,"beta-carotene,reduced ferredoxin [iron-sulfur] cluster:oxygen 3-oxidoreductase; beta-Carotene + 2 Reduced ferredoxin + H+ + Oxygen <=> beta-Cryptoxanthin + 2 Oxidized ferredoxin + H2O",C02094 + 2 C00138 + C00080 + C00007 <=> C08591 + 2 C00139 + C00001,beta-Carotene + 2 Reduced ferredoxin + H+ + Oxygen <=> beta-Cryptoxanthin + 2 Oxidized ferredoxin + H2O,['1.14.13.-       1.14.15.24      1.14.-.-'],C02094;C00138;C00080;C00007,C08591;C00139;C00001,1.0;2.0;1.0;1.0,1.0;2.0;1.0
R07559,"beta-cryptoxanthin,reduced ferredoxin [iron-sulfur] cluster:oxygen 3-oxidoreductase; beta-Cryptoxanthin + 2 Reduced ferredoxin + H+ + Oxygen <=> Zeaxanthin + 2 Oxidized ferredoxin + H2O",C08591 + 2 C00138 + C00080 + C00007 <=> C06098 + 2 C00139 + C00001,beta-Cryptoxanthin + 2 Reduced ferredoxin + H+ + Oxygen <=> Zeaxanthin + 2 Oxidized ferredoxin + H2O,['1.14.13.-       1.14.15.24      1.14.-.-'],C08591;C00138;C00080;C00007,C06098;C00139;C00001,1.0;2.0;1.0;1.0,1.0;2.0;1.0
R07560,beta-carotene:acceptor oxidoreductase/methyltranferase (phi-ring forming); beta-Carotene + 4 Acceptor <=> Isorenieratene + 4 Reduced acceptor,C02094 + 4 C00028 <=> C15943 + 4 C00030,beta-Carotene + 4 Acceptor <=> Isorenieratene + 4 Reduced acceptor,['1.3.99.39'],C02094;C00028,C15943;C00030,1.0;4.0,1.0;4.0
R07561,"echinenone,reduced ferredoxin [iron-sulfur] cluster:oxygen 3-oxidoreductase; Echinenone + 2 Reduced ferredoxin + H+ + Oxygen <=> 3'-Hydroxyechinenone + 2 Oxidized ferredoxin + H2O",C08592 + 2 C00138 + C00080 + C00007 <=> C15965 + 2 C00139 + C00001,Echinenone + 2 Reduced ferredoxin + H+ + Oxygen <=> 3'-Hydroxyechinenone + 2 Oxidized ferredoxin + H2O,['1.14.13.-       1.14.15.24'],C08592;C00138;C00080;C00007,C15965;C00139;C00001,1.0;2.0;1.0;1.0,1.0;2.0;1.0
R07562,"echinenone,reduced ferredoxin [iron-sulfur] cluster:oxygen 3-oxidoreductase; Echinenone + 2 Reduced ferredoxin + H+ + Oxygen <=> 3-Hydroxyechinenone + 2 Oxidized ferredoxin + H2O",C08592 + 2 C00138 + C00080 + C00007 <=> C15966 + 2 C00139 + C00001,Echinenone + 2 Reduced ferredoxin + H+ + Oxygen <=> 3-Hydroxyechinenone + 2 Oxidized ferredoxin + H2O,['1.14.15.24'],C08592;C00138;C00080;C00007,C15966;C00139;C00001,1.0;2.0;1.0;1.0,1.0;2.0;1.0
R07563,"echinenone,donor:oxygen oxidoreductase (canthaxanthin-forming); Echinenone + 2 Reduced acceptor + 2 Oxygen <=> Canthaxanthin + 2 Acceptor + 3 H2O",C08592 + 2 C00030 + 2 C00007 <=> C08583 + 2 C00028 + 3 C00001,Echinenone + 2 Reduced acceptor + 2 Oxygen <=> Canthaxanthin + 2 Acceptor + 3 H2O,['1.14.99.63'],C08592;C00030;C00007,C08583;C00028;C00001,1.0;2.0;2.0,1.0;2.0;3.0
R07564,"beta-cryptoxanthin,donor:oxygen oxidoreductase (3'-hydroxyechinenone-forming); beta-Cryptoxanthin + 2 Reduced acceptor + 2 Oxygen <=> 3'-Hydroxyechinenone + 2 Acceptor + 3 H2O",C08591 + 2 C00030 + 2 C00007 <=> C15965 + 2 C00028 + 3 C00001,beta-Cryptoxanthin + 2 Reduced acceptor + 2 Oxygen <=> 3'-Hydroxyechinenone + 2 Acceptor + 3 H2O,['1.14.99.63'],C08591;C00030;C00007,C15965;C00028;C00001,1.0;2.0;2.0,1.0;2.0;3.0
R07565,"beta-cryptoxanthin,donor:oxygen oxidoreductase (3-hydroxyechinenone-forming); beta-Cryptoxanthin + 2 Reduced acceptor + 2 Oxygen <=> 3-Hydroxyechinenone + 2 Acceptor + 3 H2O",C08591 + 2 C00030 + 2 C00007 <=> C15966 + 2 C00028 + 3 C00001,beta-Cryptoxanthin + 2 Reduced acceptor + 2 Oxygen <=> 3-Hydroxyechinenone + 2 Acceptor + 3 H2O,['1.14.99.64'],C08591;C00030;C00007,C15966;C00028;C00001,1.0;2.0;2.0,1.0;2.0;3.0
R07566,"3'-hydroxyechinenone,donor:oxygen oxidoreductase (phoenicoxanthin-forming); 3'-Hydroxyechinenone + 2 Reduced acceptor + 2 Oxygen <=> Phoenicoxanthin + 2 Acceptor + 3 H2O",C15965 + 2 C00030 + 2 C00007 <=> C15967 + 2 C00028 + 3 C00001,3'-Hydroxyechinenone + 2 Reduced acceptor + 2 Oxygen <=> Phoenicoxanthin + 2 Acceptor + 3 H2O,['1.14.99.64'],C15965;C00030;C00007,C15967;C00028;C00001,1.0;2.0;2.0,1.0;2.0;3.0
R07567,"3-hydroxyechinenone,donor:oxygen oxidoreductase (phoenicoxanthin-forming); 3-Hydroxyechinenone + 2 Reduced acceptor + 2 Oxygen <=> Phoenicoxanthin + 2 Acceptor + 3 H2O",C15966 + 2 C00030 + 2 C00007 <=> C15967 + 2 C00028 + 3 C00001,3-Hydroxyechinenone + 2 Reduced acceptor + 2 Oxygen <=> Phoenicoxanthin + 2 Acceptor + 3 H2O,['1.14.99.63'],C15966;C00030;C00007,C15967;C00028;C00001,1.0;2.0;2.0,1.0;2.0;3.0
R07568,"canthaxanthin,reduced ferredoxin [iron-sulfur] cluster:oxygen 3-oxidoreductase; Canthaxanthin + 2 Reduced ferredoxin + H+ + Oxygen <=> Phoenicoxanthin + 2 Oxidized ferredoxin + H2O",C08583 + 2 C00138 + C00080 + C00007 <=> C15967 + 2 C00139 + C00001,Canthaxanthin + 2 Reduced ferredoxin + H+ + Oxygen <=> Phoenicoxanthin + 2 Oxidized ferredoxin + H2O,['1.14.15.24'],C08583;C00138;C00080;C00007,C15967;C00139;C00001,1.0;2.0;1.0;1.0,1.0;2.0;1.0
R07569,"3'-hydroxyechinenone,reduced ferredoxin [iron-sulfur] cluster:oxygen 3-oxidoreductase; 3'-Hydroxyechinenone + 2 Reduced ferredoxin + H+ + Oxygen <=> Adonixanthin + 2 Oxidized ferredoxin + H2O",C15965 + 2 C00138 + C00080 + C00007 <=> C15968 + 2 C00139 + C00001,3'-Hydroxyechinenone + 2 Reduced ferredoxin + H+ + Oxygen <=> Adonixanthin + 2 Oxidized ferredoxin + H2O,['1.14.15.24'],C15965;C00138;C00080;C00007,C15968;C00139;C00001,1.0;2.0;1.0;1.0,1.0;2.0;1.0
R07570,"3-hydroxyechinenone,reduced ferredoxin [iron-sulfur] cluster:oxygen 3-oxidoreductase; 3-Hydroxyechinenone + 2 Reduced ferredoxin + H+ + Oxygen <=> Adonixanthin + 2 Oxidized ferredoxin + H2O",C15966 + 2 C00138 + C00080 + C00007 <=> C15968 + 2 C00139 + C00001,3-Hydroxyechinenone + 2 Reduced ferredoxin + H+ + Oxygen <=> Adonixanthin + 2 Oxidized ferredoxin + H2O,['1.14.15.24'],C15966;C00138;C00080;C00007,C15968;C00139;C00001,1.0;2.0;1.0;1.0,1.0;2.0;1.0
R07571,"zeaxanthin,donor:oxygen oxidoreductase (adonixanthin-forming); Zeaxanthin + 2 Reduced acceptor + 2 Oxygen <=> Adonixanthin + 2 Acceptor + 3 H2O",C06098 + 2 C00030 + 2 C00007 <=> C15968 + 2 C00028 + 3 C00001,Zeaxanthin + 2 Reduced acceptor + 2 Oxygen <=> Adonixanthin + 2 Acceptor + 3 H2O,['1.14.99.64'],C06098;C00030;C00007,C15968;C00028;C00001,1.0;2.0;2.0,1.0;2.0;3.0
R07572,"phoenicoxanthin,reduced ferredoxin [iron-sulfur] cluster:oxygen 3'-oxidoreductase; Phoenicoxanthin + 2 Reduced ferredoxin + H+ + Oxygen <=> Astaxanthin + 2 Oxidized ferredoxin + H2O",C15967 + 2 C00138 + C00080 + C00007 <=> C08580 + 2 C00139 + C00001,Phoenicoxanthin + 2 Reduced ferredoxin + H+ + Oxygen <=> Astaxanthin + 2 Oxidized ferredoxin + H2O,['1.14.15.24'],C15967;C00138;C00080;C00007,C08580;C00139;C00001,1.0;2.0;1.0;1.0,1.0;2.0;1.0
R07573,"adonixanthin,donor:oxygen oxidoreductase (astaxanthin-forming); Adonixanthin + 2 Reduced acceptor + 2 Oxygen <=> Astaxanthin + 2 Acceptor + 3 H2O",C15968 + 2 C00030 + 2 C00007 <=> C08580 + 2 C00028 + 3 C00001,Adonixanthin + 2 Reduced acceptor + 2 Oxygen <=> Astaxanthin + 2 Acceptor + 3 H2O,['1.14.99.64'],C15968;C00030;C00007,C08580;C00028;C00001,1.0;2.0;2.0,1.0;2.0;3.0
R07574,UDP-glucose:zeaxanthin beta-D-glucosyltransferase; Zeaxanthin + 2 UDP-glucose <=> Zeaxanthin diglucoside + 2 UDP,C06098 + 2 C00029 <=> C15969 + 2 C00015,Zeaxanthin + 2 UDP-glucose <=> Zeaxanthin diglucoside + 2 UDP,['2.4.1.276'],C06098;C00029,C15969;C00015,1.0;2.0,1.0;2.0
R07575,UDP-D-glucose:abscisate beta-D-glucosyltransferase; Abscisate + UDP-glucose <=> Abscisic acid glucose ester + UDP,C06082 + C00029 <=> C15970 + C00015,Abscisate + UDP-glucose <=> Abscisic acid glucose ester + UDP,['2.4.1.263'],C06082;C00029,C15970;C00015,1.0;1.0,1.0;1.0
R07576,8'-Hydroxyabscisate <=> Phaseic acid,C15514 <=> C09707,8'-Hydroxyabscisate <=> Phaseic acid,,C15514,C09707,1.0,1.0
R07577,Phaseic acid <=> Dihydrophaseic acid,C09707 <=> C15971,Phaseic acid <=> Dihydrophaseic acid,,C09707,C15971,1.0,1.0
R07578,beta-Cryptoxanthin <=> Thermocryptoxanthin,C08591 <=> C15982,beta-Cryptoxanthin <=> Thermocryptoxanthin,,C08591,C15982,1.0,1.0
R07579,Thermocryptoxanthin <=> Thermozeaxanthin,C15982 <=> C15983,Thermocryptoxanthin <=> Thermozeaxanthin,,C15982,C15983,1.0,1.0
R07580,Zeaxanthin <=> Thermozeaxanthin,C06098 <=> C15983,Zeaxanthin <=> Thermozeaxanthin,,C06098,C15983,1.0,1.0
R07581,Thermozeaxanthin <=> Thermobiszeaxanthin,C15983 <=> C15984,Thermozeaxanthin <=> Thermobiszeaxanthin,,C15983,C15984,1.0,1.0
R07582,"(9S,10S)-10-hydroxy-9-(phosphonooxy)octadecanoate phosphohydrolase; (9S,10S)-10-Hydroxy-9-(phosphonooxy)octadecanoate + H2O <=> (9S,10S)-9,10-Dihydroxyoctadecanoate + Orthophosphate",C15989 + C00001 <=> C15988 + C00009,"(9S,10S)-10-Hydroxy-9-(phosphonooxy)octadecanoate + H2O <=> (9S,10S)-9,10-Dihydroxyoctadecanoate + Orthophosphate",['3.1.3.76'],C15989;C00001,C15988;C00009,1.0;1.0,1.0;1.0
R07583,"myo-inositol-hexakisphosphate 5-phosphohydrolase; Phytic acid + H2O <=> 1L-myo-Inositol 1,2,3,4,6-pentakisphosphate + Orthophosphate",C01204 + C00001 <=> C15990 + C00009,"Phytic acid + H2O <=> 1L-myo-Inositol 1,2,3,4,6-pentakisphosphate + Orthophosphate",['3.1.3.72'],C01204;C00001,C15990;C00009,1.0;1.0,1.0;1.0
R07597,"5,6alpha-epoxy-5alpha-cholestan-3beta-ol hydrolase; Cholesterol-5alpha,6alpha-epoxide + H2O <=> 3beta,5alpha,6beta-Cholestanetriol",C15992 + C00001 <=> C05425,"Cholesterol-5alpha,6alpha-epoxide + H2O <=> 3beta,5alpha,6beta-Cholestanetriol",['3.3.2.11'],C15992;C00001,C05425,1.0;1.0,1.0
R07598,L-lysine:oxygen 6-oxidoreductase (deaminating); L-Lysine + Oxygen + H2O <=> L-2-Aminoadipate 6-semialdehyde + Hydrogen peroxide + Ammonia,C00047 + C00007 + C00001 <=> C04076 + C00027 + C00014,L-Lysine + Oxygen + H2O <=> L-2-Aminoadipate 6-semialdehyde + Hydrogen peroxide + Ammonia,['1.4.3.20'],C00047;C00007;C00001,C04076;C00027;C00014,1.0;1.0;1.0,1.0;1.0;1.0
R07599,3-Methyl-2-oxobutanoic acid + Thiamin diphosphate <=> 2-Methyl-1-hydroxypropyl-ThPP + CO2,C00141 + C00068 <=> C15976 + C00011,3-Methyl-2-oxobutanoic acid + Thiamin diphosphate <=> 2-Methyl-1-hydroxypropyl-ThPP + CO2,['1.2.4.4'],C00141;C00068,C15976;C00011,1.0;1.0,1.0;1.0
R07600,2-Methyl-1-hydroxypropyl-ThPP + Enzyme N6-(lipoyl)lysine <=> [Dihydrolipoyllysine-residue (2-methylpropanoyl)transferase] S-(2-methylpropanoyl)dihydrolipoyllysine + Thiamin diphosphate,C15976 + C15972 <=> C15977 + C00068,2-Methyl-1-hydroxypropyl-ThPP + Enzyme N6-(lipoyl)lysine <=> [Dihydrolipoyllysine-residue (2-methylpropanoyl)transferase] S-(2-methylpropanoyl)dihydrolipoyllysine + Thiamin diphosphate,['1.2.4.4'],C15976;C15972,C15977;C00068,1.0;1.0,1.0;1.0
R07601,4-Methyl-2-oxopentanoate + Thiamin diphosphate <=> 3-Methyl-1-hydroxybutyl-ThPP + CO2,C00233 + C00068 <=> C15974 + C00011,4-Methyl-2-oxopentanoate + Thiamin diphosphate <=> 3-Methyl-1-hydroxybutyl-ThPP + CO2,['1.2.4.4'],C00233;C00068,C15974;C00011,1.0;1.0,1.0;1.0
R07602,3-Methyl-1-hydroxybutyl-ThPP + Enzyme N6-(lipoyl)lysine <=> [Dihydrolipoyllysine-residue (2-methylpropanoyl)transferase] S-(3-methylbutanoyl)dihydrolipoyllysine + Thiamin diphosphate,C15974 + C15972 <=> C15975 + C00068,3-Methyl-1-hydroxybutyl-ThPP + Enzyme N6-(lipoyl)lysine <=> [Dihydrolipoyllysine-residue (2-methylpropanoyl)transferase] S-(3-methylbutanoyl)dihydrolipoyllysine + Thiamin diphosphate,['1.2.4.4'],C15974;C15972,C15975;C00068,1.0;1.0,1.0;1.0
R07603,(S)-3-Methyl-2-oxopentanoic acid + Thiamin diphosphate <=> 2-Methyl-1-hydroxybutyl-ThPP + CO2,C00671 + C00068 <=> C15978 + C00011,(S)-3-Methyl-2-oxopentanoic acid + Thiamin diphosphate <=> 2-Methyl-1-hydroxybutyl-ThPP + CO2,['1.2.4.4'],C00671;C00068,C15978;C00011,1.0;1.0,1.0;1.0
R07604,2-Methyl-1-hydroxybutyl-ThPP + Enzyme N6-(lipoyl)lysine <=> [Dihydrolipoyllysine-residue (2-methylpropanoyl)transferase] S-(2-methylbutanoyl)dihydrolipoyllysine + Thiamin diphosphate,C15978 + C15972 <=> C15979 + C00068,2-Methyl-1-hydroxybutyl-ThPP + Enzyme N6-(lipoyl)lysine <=> [Dihydrolipoyllysine-residue (2-methylpropanoyl)transferase] S-(2-methylbutanoyl)dihydrolipoyllysine + Thiamin diphosphate,['1.2.4.4'],C15978;C15972,C15979;C00068,1.0;1.0,1.0;1.0
R07605,7-aminomethyl-7-carbaguanine:NADP+ oxidoreductase; 7-Aminomethyl-7-carbaguanine + 2 NADP+ <=> 7-Cyano-7-carbaguanine + 2 NADPH + 2 H+,C16675 + 2 C00006 <=> C15996 + 2 C00005 + 2 C00080,7-Aminomethyl-7-carbaguanine + 2 NADP+ <=> 7-Cyano-7-carbaguanine + 2 NADPH + 2 H+,['1.7.1.13'],C16675;C00006,C15996;C00005;C00080,1.0;2.0,1.0;2.0;2.0
R07606,L-methionine:thioredoxin-disulfide S-oxidoreductase; L-Methionine + Thioredoxin disulfide + H2O <=> L-Methionine (S)-S-oxide + Thioredoxin,C00073 + C00343 + C00001 <=> C15999 + C00342,L-Methionine + Thioredoxin disulfide + H2O <=> L-Methionine (S)-S-oxide + Thioredoxin,"['1.8.4.11', '1.8.4.13']",C00073;C00343;C00001,C15999;C00342,1.0;1.0;1.0,1.0;1.0
